rating,genre,score,director,star,budget,gross,company,runtime
R,Drama,8.4,Stanley Kubrick,Jack Nicholson,19000000,46998772,Warner Bros.,146
R,Adventure,5.8,Randal Kleiser,Brooke Shields,4500000,58853106,Columbia Pictures,104
PG,Action,8.7,Irvin Kershner,Mark Hamill,18000000,538375067,Lucasfilm,124
PG,Comedy,7.7,Jim Abrahams,Robert Hays,3500000,83453539,Paramount Pictures,88
R,Comedy,7.3,Harold Ramis,Chevy Chase,6000000,39846344,Orion Pictures,98
R,Horror,6.4,Sean S. Cunningham,Betsy Palmer,550000,39754601,Paramount Pictures,95
R,Action,7.9,John Landis,John Belushi,27000000,115229890,Universal Pictures,133
R,Biography,8.2,Martin Scorsese,Robert De Niro,18000000,23402427,Chartoff-Winkler Productions,129
PG,Action,6.8,Richard Lester,Gene Hackman,54000000,108185706,Dovemead Films,127
R,Biography,7.0,Walter Hill,David Carradine,10000000,15795189,United Artists,100
PG,Action,6.1,Buddy Van Horn,Clint Eastwood,15000000,70687344,The Malpaso Company,116
PG,Adventure,7.3,Jamie Uys,N!xau,5000000,30031783,C.A.T. Films,109
PG,Adventure,5.3,Robert Altman,Robin Williams,20000000,49823037,Paramount Pictures,114
R,Drama,7.7,Robert Redford,Donald Sutherland,6000000,54766923,Paramount Pictures,124
R,Crime,7.1,Brian De Palma,Michael Caine,6500000,31899000,Filmways Pictures,104
PG,Drama,7.2,Jeannot Szwarc,Christopher Reeve,5100000,9709597,Rastar Pictures,103
PG,Comedy,6.9,Colin Higgins,Jane Fonda,10000000,103300686,IPC Films,109
R,Horror,6.8,John Carpenter,Adrienne Barbeau,1000000,21448782,AVCO Embassy Pictures,89
R,Crime,6.5,William Friedkin,Al Pacino,11000000,19814523,Lorimar Film Entertainment,102
R,Adventure,6.8,Michael Cimino,Kris Kristofferson,44000000,3484523,Partisan Productions,219
PG,Action,6.7,Don Taylor,Kirk Douglas,12000000,16647800,Bryna Productions,103
PG,Fantasy,5.3,Robert Greenwald,Olivia Newton-John,20000000,22762571,Universal Pictures,96
R,Crime,7.2,Stuart Rosenberg,Robert Redford,9000000,37121708,Twentieth Century Fox,131
R,Crime,6.2,Paul Schrader,Richard Gere,4800000,22743674,Paramount Pictures,117
PG,Drama,6.1,Lamont Johnson,Scott Glenn,5100000,534816,Cattle Annie Productions,97
R,Comedy,6.2,Howard Zieff,Goldie Hawn,10000000,69847348,Warner Bros.,109
R,Comedy,6.3,Floyd Mutrux,Tony Danza,4000000,10000000,PolyGram Filmed Entertainment,91
R,Comedy,6.0,Kevin Connor,Rory Calhoun,3000000,6342668,Camp Hill,101
R,Action,7.1,Richard Rush,Peter O'Toole,3500000,7063886,Melvin Simon Productions,131
R,Action,5.3,Michael Ritchie,Michael Caine,22000000,15716828,Universal Pictures,109
PG,Action,5.1,Clive Donner,Don Adams,15000000,14662035,Universal Pictures,94
PG,Comedy,7.3,Woody Allen,Woody Allen,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,89
R,Comedy,6.8,Jonathan Demme,Paul Le Mat,7000000,4309490,Universal Pictures,95
PG,Action,6.1,Clint Eastwood,Clint Eastwood,6500000,24265659,Warner Bros.,116
PG,Action,4.6,James Goldstone,Paul Newman,20000000,3763988,International Cinema,121
PG,Comedy,5.4,Joe Camp,Chevy Chase,6000000,6216067,Mulberry Square Productions,103
R,Action,5.1,Eric Karson,Chuck Norris,4000000,18971000,American Cinema Productions,103
G,Adventure,5.8,Charles Jarrott,Elliott Gould,6000000,11000000,Walt Disney Productions,97
R,Comedy,5.9,Paul Mazursky,Michael Ontkean,5500000,4400000,Twentieth Century Fox,115
R,Drama,4.0,John Huston,Paul Michael Glaser,5100000,59167,Borough Park Productions,94
PG,Action,8.4,Steven Spielberg,Harrison Ford,18000000,389925971,Paramount Pictures,115
R,Comedy,7.5,John Landis,David Naughton,10000000,30669378,Polygram Pictures,97
R,Action,7.2,John Carpenter,Kurt Russell,6000000,25244626,AVCO Embassy Pictures,99
NC-17,Horror,7.5,Sam Raimi,Bruce Campbell,350000,2956630,Renaissance Pictures,85
R,Comedy,6.2,Bob Clark,Dan Monahan,2500000,111289673,Astral Bellevue Pathé,94
R,Crime,7.4,Brian De Palma,John Travolta,18000000,12000000,Filmways Pictures,108
PG,Action,6.9,Desmond Davis,Laurence Olivier,15000000,41092328,Charles H. Schneer Productions,118
R,Adventure,7.4,John Boorman,Nigel Terry,11000000,34971136,Cinema '84,140
R,Action,7.6,George Miller,Mel Gibson,3000000,23668369,Kennedy Miller Productions,96
R,Comedy,6.9,Ivan Reitman,Bill Murray,10000000,85297000,Columbia Pictures,106
PG,Action,6.2,Hal Needham,Burt Reynolds,18000000,72179579,Golden Harvest Company,95
R,Action,7.4,Michael Mann,James Caan,5500000,11492915,Mann/Caan Productions,123
PG,Adventure,7.0,Terry Gilliam,Sean Connery,5000000,42368025,HandMade Films,110
R,Horror,6.1,Steve Miner,Betsy Palmer,1250000,21722776,Georgetown Productions Inc.,87
PG,Action,6.7,John Glen,Roger Moore,28000000,54813222,Eon Productions,127
R,Horror,6.5,Rick Rosenthal,Jamie Lee Curtis,2500000,25533818,Dino De Laurentiis Company,92
PG,Drama,6.8,Harold Becker,George C. Scott,14000000,35856053,Major Studio Partners,126
PG,Biography,7.3,Warren Beatty,Warren Beatty,32000000,40382659,Barclays Mercantile Industrial Finance,195
G,Animation,7.3,Directors,Mickey Rooney,12000000,63456988,Walt Disney Animation Studios,83
PG,Biography,7.2,Hugh Hudson,Ben Cross,5500000,59303359,Enigma Productions,125
PG,Drama,6.9,Sydney Pollack,Paul Newman,12000000,40716963,Columbia Pictures,116
Approved,Adventure,3.4,John Derek,Bo Derek,6500000,36565280,Metro-Goldwyn-Mayer (MGM),115
PG,Drama,6.7,John Huston,Michael Caine,10000000,10853418,Lorimar Film Entertainment,116
PG,Comedy,6.9,Steve Gordon,Dudley Moore,7000000,95461682,Orion Pictures,97
R,Comedy,6.9,Mel Brooks,Mel Brooks,11000000,31672907,Brooksfilms,92
R,Horror,6.6,Joe Dante,Dee Wallace,1000000,17985893,Embassy Pictures,91
PG,Action,6.7,Matthew Robbins,Peter MacNicol,18000000,14110013,Paramount Pictures,109
R,Crime,6.9,Ivan Passer,Jeff Bridges,3000000,1752634,Gurian Entertainment,109
R,Adventure,7.3,Jean-Jacques Annaud,Everett McGill,12500000,20962615,International Cinema Corporation (ICC),100
R,Horror,5.6,Graham Baker,Sam Neill,5000000,20471382,Twentieth Century Fox,108
R,Biography,6.7,Frank Perry,Faye Dunaway,5000000,19032261,Paramount Pictures,129
R,Comedy,5.2,Alan Myerson,Sylvia Kristel,2800000,26279000,Barry & Enright Productions,87
R,Crime,6.6,Bob Rafelson,Jack Nicholson,12000000,12376625,CIP Filmproduktion GmbH,122
R,Horror,5.6,Wes Craven,Maren Jensen,2500000,8279042,PolyGram Filmed Entertainment,100
R,Crime,6.0,Peter Yates,William Hurt,8500000,6400000,Twentieth Century Fox,103
R,Action,6.6,Peter Hyams,Sean Connery,16000000,17374595,The Ladd Company,109
R,Comedy,6.4,Blake Edwards,Julie Andrews,12000000,14867086,Artista Management,122
R,Horror,6.8,Lucio Fulci,Catriona MacColl,400000,123843,Fulvia Film,87
R,Drama,6.5,Francis Ford Coppola,Frederic Forrest,26000000,636796,Zoetrope Studios,107
R,Crime,6.3,Ulu Grosbard,Robert De Niro,10000000,12850276,Chartoff-Winkler Productions,108
R,Action,6.4,Bruce Malmuth,Sylvester Stallone,5000000,19905359,Universal Pictures,99
R,Comedy,5.6,John G. Avildsen,John Belushi,8500000,29916207,Columbia Pictures,94
R,Horror,6.3,Michael Wadleigh,Albert Finney,17000000,10626725,Orion Pictures,115
R,Crime,7.5,Sidney Lumet,Treat Williams,8600000,8124257,Orion Pictures,167
R,Horror,6.0,Ken Wiederhorn,Lauren Tewes,800000,1118634,Georgetown Productions Inc.,84
PG,Comedy,5.4,Steve Rash,Chevy Chase,20000000,18826490,Innovisions,98
PG,Comedy,5.6,Michael Schultz,George Segal,6000000,9566593,DeHaven/Shapiro Productions,92
PG,Comedy,5.1,Ken Shapiro,Chevy Chase,8000000,26154211,Twentieth Century Fox,93
R,Drama,6.5,Herbert Ross,Steve Martin,22000000,9171289,Metro-Goldwyn-Mayer (MGM),108
PG,Action,5.1,William A. Fraker,Klinton Spilsbury,18000000,12617845,Eaves Movie Ranch,98
PG,Adventure,5.2,Franklin J. Schaffner,Lesley-Anne Down,14000000,2022771,Orion Pictures,118
R,Drama,6.8,Luis Valdez,Daniel Valdez,2700000,3256082,Universal Pictures,103
R,Comedy,6.5,Billy Wilder,Jack Lemmon,10000000,7258543,Heron Productions,96
R,Comedy,6.1,Oz Scott,Richard Pryor,11000000,31261269,Universal Pictures,94
PG,Comedy,4.3,Allan Arkush,Andy Kaufman,12000000,2154696,Universal Pictures,78
PG,Comedy,5.0,Gus Trikonis,Robert Hays,3500000,17569027,Cinema Group Ventures,100
R,Comedy,7.3,John Badham,Richard Dreyfuss,13000000,8206145,Metro-Goldwyn-Mayer (MGM),119
PG,Drama,2.7,Terence Young,Laurence Olivier,46000000,5200986,One Way Productions,140
R,Comedy,5.5,Jean-Claude Tramont,Gene Hackman,14000000,4454295,Universal Pictures,87
PG,Adventure,5.6,Roger Spottiswoode,Robert Duvall,12000000,3702028,PolyGram Pictures,100
R,Drama,5.4,Alan J. Pakula,Jane Fonda,16000000,10851261,IPC Films,116
PG,Action,5.2,John Schlesinger,David Rasche,24000000,2004742,EMI Films,107
PG,Action,5.5,Noel Nosseck,Harry Hamlin,2000000,1791147,PolyGram Pictures,90
R,Comedy,7.2,Amy Heckerling,Sean Penn,4500000,27092880,Universal Pictures,90
R,Action,8.1,Ridley Scott,Harrison Ford,28000000,41676878,The Ladd Company,117
R,Horror,8.1,John Carpenter,Kurt Russell,15000000,19632053,Universal Pictures,109
R,Action,6.9,John Milius,Arnold Schwarzenegger,20000000,68851475,Universal Pictures,129
PG,Family,7.8,Steven Spielberg,Henry Thomas,10500000,792910554,Universal Pictures,115
R,Action,7.7,Ted Kotcheff,Sylvester Stallone,15000000,125212904,Anabasis N.V.,93
R,Drama,7.0,Taylor Hackford,Richard Gere,7500000,129795554,Lorimar Film Entertainment,124
PG,Comedy,4.4,Patricia Birch,Michelle Pfeiffer,13200000,15171476,Paramount Pictures,115
PG,Comedy,6.6,John Huston,Aileen Quinn,50000000,57063861,Columbia Pictures,127
PG,Horror,7.3,Tobe Hooper,JoBeth Williams,10700000,77142388,Metro-Goldwyn-Mayer (MGM),114
R,Action,6.9,Walter Hill,Nick Nolte,12000000,78868508,Paramount Pictures,96
PG,Action,7.7,Nicholas Meyer,William Shatner,11200000,78912963,Paramount Pictures,113
R,Drama,7.6,Alan J. Pakula,Meryl Streep,12000000,30036000,Incorporated Television Company (ITC),150
PG,Biography,8.0,Richard Attenborough,Ben Kingsley,22000000,52767889,International Film Investors,191
PG,Comedy,7.4,Sydney Pollack,Dustin Hoffman,21000000,177200000,Columbia Pictures,116
PG,Action,6.8,Steven Lisberger,Jeff Bridges,17000000,33000525,Walt Disney Productions,96
