genre,score,writer,star,budget,gross,company,runtime
Drama,8.4,Stephen King,Jack Nicholson,19000000,46998772,Warner Bros.,146
Adventure,5.8,Henry De Vere Stacpoole,Brooke Shields,4500000,58853106,Columbia Pictures,104
Action,8.7,Leigh Brackett,Mark Hamill,18000000,538375067,Lucasfilm,124
Comedy,7.7,Jim Abrahams,Robert Hays,3500000,83453539,Paramount Pictures,88
Comedy,7.3,Brian Doyle-Murray,Chevy Chase,6000000,39846344,Orion Pictures,98
Horror,6.4,Victor Miller,Betsy Palmer,550000,39754601,Paramount Pictures,95
Action,7.9,Dan Aykroyd,John Belushi,27000000,115229890,Universal Pictures,133
Biography,8.2,Jake LaMotta,Robert De Niro,18000000,23402427,Chartoff-Winkler Productions,129
Action,6.8,Jerry Siegel,Gene Hackman,54000000,108185706,Dovemead Films,127
Biography,7.0,Bill Bryden,David Carradine,10000000,15795189,United Artists,100
Action,6.1,Stanford Sherman,Clint Eastwood,15000000,70687344,The Malpaso Company,116
Adventure,7.3,Jamie Uys,N!xau,5000000,30031783,C.A.T. Films,109
Adventure,5.3,Jules Feiffer,Robin Williams,20000000,49823037,Paramount Pictures,114
Drama,7.7,Judith Guest,Donald Sutherland,6000000,54766923,Paramount Pictures,124
Crime,7.1,Brian De Palma,Michael Caine,6500000,31899000,Filmways Pictures,104
Drama,7.2,Richard Matheson,Christopher Reeve,5100000,9709597,Rastar Pictures,103
Comedy,6.9,Patricia Resnick,Jane Fonda,10000000,103300686,IPC Films,109
Horror,6.8,John Carpenter,Adrienne Barbeau,1000000,21448782,AVCO Embassy Pictures,89
Crime,6.5,William Friedkin,Al Pacino,11000000,19814523,Lorimar Film Entertainment,102
Adventure,6.8,Michael Cimino,Kris Kristofferson,44000000,3484523,Partisan Productions,219
Action,6.7,Thomas Hunter,Kirk Douglas,12000000,16647800,Bryna Productions,103
Fantasy,5.3,Richard Christian Danus,Olivia Newton-John,20000000,22762571,Universal Pictures,96
Crime,7.2,W.D. Richter,Robert Redford,9000000,37121708,Twentieth Century Fox,131
Crime,6.2,Paul Schrader,Richard Gere,4800000,22743674,Paramount Pictures,117
Drama,6.1,David Eyre,Scott Glenn,5100000,534816,Cattle Annie Productions,97
Comedy,6.2,Nancy Meyers,Goldie Hawn,10000000,69847348,Warner Bros.,109
Comedy,6.3,Floyd Mutrux,Tony Danza,4000000,10000000,PolyGram Filmed Entertainment,91
Comedy,6.0,Robert Jaffe,Rory Calhoun,3000000,6342668,Camp Hill,101
Action,7.1,Lawrence B. Marcus,Peter O'Toole,3500000,7063886,Melvin Simon Productions,131
Action,5.3,Peter Benchley,Michael Caine,22000000,15716828,Universal Pictures,109
Action,5.1,Mel Brooks,Don Adams,15000000,14662035,Universal Pictures,94
Comedy,7.3,Woody Allen,Woody Allen,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,89
Comedy,6.8,Bo Goldman,Paul Le Mat,7000000,4309490,Universal Pictures,95
Action,6.1,Dennis Hackin,Clint Eastwood,6500000,24265659,Warner Bros.,116
Action,4.6,Gordon Thomas,Paul Newman,20000000,3763988,International Cinema,121
Comedy,5.4,Rod Browning,Chevy Chase,6000000,6216067,Mulberry Square Productions,103
Action,5.1,Leigh Chapman,Chuck Norris,4000000,18971000,American Cinema Productions,103
Adventure,5.8,Ernest K. Gann,Elliott Gould,6000000,11000000,Walt Disney Productions,97
Comedy,5.9,Jean Gruault,Michael Ontkean,5500000,4400000,Twentieth Century Fox,115
Drama,4.0,Gary Sherman,Paul Michael Glaser,5100000,59167,Borough Park Productions,94
Action,8.4,Lawrence Kasdan,Harrison Ford,18000000,389925971,Paramount Pictures,115
Comedy,7.5,John Landis,David Naughton,10000000,30669378,Polygram Pictures,97
Action,7.2,John Carpenter,Kurt Russell,6000000,25244626,AVCO Embassy Pictures,99
Horror,7.5,Sam Raimi,Bruce Campbell,350000,2956630,Renaissance Pictures,85
Comedy,6.2,Bob Clark,Dan Monahan,2500000,111289673,Astral Bellevue Pathé,94
Crime,7.4,Brian De Palma,John Travolta,18000000,12000000,Filmways Pictures,108
Action,6.9,Beverley Cross,Laurence Olivier,15000000,41092328,Charles H. Schneer Productions,118
Adventure,7.4,Thomas Malory,Nigel Terry,11000000,34971136,Cinema '84,140
Action,7.6,Terry Hayes,Mel Gibson,3000000,23668369,Kennedy Miller Productions,96
Comedy,6.9,Len Blum,Bill Murray,10000000,85297000,Columbia Pictures,106
Action,6.2,Brock Yates,Burt Reynolds,18000000,72179579,Golden Harvest Company,95
